Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,showCheatSheet,Long Statement,The length of the statement "cheatSheet.setGravity(Gravity.TOP | Gravity.CENTER_HORIZONTAL`viewCenterX - screenWidth / 2`screenPos[1] - displayFrame.top + viewHeight);" is 138.,105
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,showCheatSheet,Long Statement,The length of the statement "cheatSheet.setGravity(Gravity.TOP | Gravity.CENTER_HORIZONTAL`viewCenterX - screenWidth / 2`screenPos[1] - displayFrame.top - estimatedToastHeight);" is 148.,105
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,showCheatSheet,Magic Number,The method contains a magic number: 2,105
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,showCheatSheet,Magic Number,The method contains a magic number: 2,105
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,showCheatSheet,Magic Number,The method contains a magic number: 2,105
Telecine-1.6.2,com.jakewharton.telecine,CheatSheet,showCheatSheet,Magic Number,The method contains a magic number: 2,105
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,provideAnalytics,Magic Number,The method contains a magic number: 300,31
Telecine-1.6.2,com.jakewharton.telecine,TelecineModule,provideRecordingNotificationPreference,Long Identifier,The length of the field DEFAULT_RECORDING_NOTIFICATION is 30.,63
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,RecordingSession,Long Parameter List,The method has 7 parameters. ,97
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,showOverlay,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_RECORDING).setAction(Analytics.ACTION_OVERLAY_SHOW).build());" is 138.,116
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,hideOverlay,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_RECORDING).setAction(Analytics.ACTION_OVERLAY_HIDE).build());" is 138.,145
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,cancelOverlay,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_RECORDING).setAction(Analytics.ACTION_OVERLAY_CANCEL).build());" is 140.,158
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,getRecordingInfo,Long Statement,The length of the statement "return calculateRecordingInfo(displayWidth`displayHeight`displayDensity`isLandscape`cameraWidth`cameraHeight`cameraFrameRate`sizePercentage);" is 141.,168
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,getRecordingInfo,Magic Number,The method contains a magic number: 30,168
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,startRecording,Long Statement,The length of the statement "display=projection.createVirtualDisplay(DISPLAY_NAME`recordingInfo.width`recordingInfo.height`recordingInfo.density`VIRTUAL_DISPLAY_FLAG_PRESENTATION`surface`null`null);" is 169.,195
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,startRecording,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_RECORDING).setAction(Analytics.ACTION_RECORDING_START).build());" is 141.,195
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,startRecording,Magic Number,The method contains a magic number: 8,195
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,startRecording,Magic Number,The method contains a magic number: 1000,195
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,startRecording,Magic Number,The method contains a magic number: 1000,195
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,stopRecording,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_RECORDING).setAction(Analytics.ACTION_RECORDING_STOP).build());" is 140.,248
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,stopRecording,Long Statement,The length of the statement "analytics.send(new HitBuilders.TimingBuilder().setCategory(Analytics.CATEGORY_RECORDING).setValue(TimeUnit.NANOSECONDS.toMillis(recordingStopNanos - recordingStartNanos)).setVariable(Analytics.VARIABLE_RECORDING_LENGTH).build());" is 229.,248
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,stopRecording,Long Statement,The length of the statement "MediaScannerConnection.scanFile(context`new String[]{outputFile}`null`new MediaScannerConnection.OnScanCompletedListener(){" is 123.,248
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,showNotification,Long Statement,The length of the statement "Notification.Builder builder=new Notification.Builder(context).setContentTitle(title).setContentText(subtitle).setWhen(System.currentTimeMillis()).setShowWhen(true).setSmallIcon(R.drawable.ic_videocam_white_24dp).setColor(context.getResources().getColor(R.color.primary_normal)).setContentIntent(pendingViewIntent).setAutoCancel(true).addAction(R.drawable.ic_share_white_24dp`share`pendingShareIntent).addAction(R.drawable.ic_delete_white_24dp`delete`pendingDeleteIntent);" is 472.,309
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,showNotification,Long Statement,The length of the statement "builder.setLargeIcon(createSquareBitmap(bitmap)).setStyle(new Notification.BigPictureStyle().setBigContentTitle(title).setSummaryText(subtitle).bigPicture(bitmap));" is 164.,309
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,calculateRecordingInfo,Long Parameter List,The method has 8 parameters. ,374
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,calculateRecordingInfo,Magic Number,The method contains a magic number: 100,374
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,calculateRecordingInfo,Magic Number,The method contains a magic number: 100,374
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,createSquareBitmap,Magic Number,The method contains a magic number: 2,416
Telecine-1.6.2,com.jakewharton.telecine,RecordingSession,createSquareBitmap,Magic Number,The method contains a magic number: 2,416
Telecine-1.6.2,com.jakewharton.telecine,BugsnagTree,priorityToString,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@4f2d8175,43
Telecine-1.6.2,com.jakewharton.telecine,CaptureHelper,fireScreenCaptureIntent,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_SETTINGS).setAction(Analytics.ACTION_CAPTURE_INTENT_LAUNCH).build());" is 146.,18
Telecine-1.6.2,com.jakewharton.telecine,CaptureHelper,handleActivityResult,Long Parameter List,The method has 5 parameters. ,30
Telecine-1.6.2,com.jakewharton.telecine,CaptureHelper,handleActivityResult,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_SETTINGS).setAction(Analytics.ACTION_CAPTURE_INTENT_RESULT).setValue(resultCode).build());" is 167.,30
Telecine-1.6.2,com.jakewharton.telecine,TelecineActivity,onCreate,Long Identifier,The length of the field recordingNotificationPreference is 31.,49
Telecine-1.6.2,com.jakewharton.telecine,TelecineActivity,onVideoSizePercentageSelected,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_SETTINGS).setAction(Analytics.ACTION_CHANGE_VIDEO_SIZE).setValue(newValue).build());" is 161.,96
Telecine-1.6.2,com.jakewharton.telecine,TelecineActivity,onShowCountdownChanged,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_SETTINGS).setAction(Analytics.ACTION_CHANGE_SHOW_COUNTDOWN).setValue(newValue ? 1 : 0).build());" is 173.,112
Telecine-1.6.2,com.jakewharton.telecine,TelecineActivity,onHideFromRecentsChanged,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_SETTINGS).setAction(Analytics.ACTION_CHANGE_HIDE_RECENTS).setValue(newValue ? 1 : 0).build());" is 171.,127
Telecine-1.6.2,com.jakewharton.telecine,TelecineActivity,onRecordingNotificationChanged,Long Identifier,The length of the field recordingNotificationPreference is 31.,142
Telecine-1.6.2,com.jakewharton.telecine,TelecineActivity,onRecordingNotificationChanged,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_SETTINGS).setAction(Analytics.ACTION_CHANGE_RECORDING_NOTIFICATION).setValue(newValue ? 1 : 0).build());" is 181.,142
Telecine-1.6.2,com.jakewharton.telecine,TelecineActivity,onShowTouchesChanged,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_SETTINGS).setAction(Analytics.ACTION_CHANGE_SHOW_TOUCHES).setValue(newValue ? 1 : 0).build());" is 171.,157
Telecine-1.6.2,com.jakewharton.telecine,TelecineTileService,onTileAdded,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_QUICK_TILE).setAction(Analytics.ACTION_QUICK_TILE_ADDED).build());" is 143.,35
Telecine-1.6.2,com.jakewharton.telecine,TelecineTileService,onTileRemoved,Long Statement,The length of the statement "analytics.send(new HitBuilders.EventBuilder().setCategory(Analytics.CATEGORY_QUICK_TILE).setAction(Analytics.ACTION_QUICK_TILE_ADDED).build());" is 143.,43
