Fullpathname,Project,Classname,loc,numAttr,numMethod,setters,getters,isPersist,isCollection,numWordName,isOrEr,isController,numIfs,numParameters,numImports,numOutboundInvocation,numInnerClasses,isStaticClass,isInterface,isInnerClass,isClass,isEnum,classPublicity,numPublicMethods,numPrivateMethods,numProtectedMethods,isAbstract,label
/app/src/main/java/de/danoeh/antennapod/discovery/ItunesPodcastSearcher.java,AntennaPod-2.1.1,ItunesPodcastSearcher,104,1,4,0,1,False,False,3,True,False,3,3,18,15,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/app/src/main/java/de/danoeh/antennapod/discovery/ItunesTopListLoader.java,AntennaPod-2.1.1,ItunesTopListLoader,113,6,4,0,1,False,False,4,True,False,4,6,22,12,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/app/src/main/java/de/danoeh/antennapod/discovery/PodcastIndexPodcastSearcher.java,AntennaPod-2.1.1,PodcastIndexPodcastSearcher,126,1,6,0,1,False,False,4,True,False,2,5,23,15,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/app/src/main/java/de/danoeh/antennapod/discovery/PodcastSearchResult.java,AntennaPod-2.1.1,PodcastSearchResult,114,4,6,0,0,False,False,3,False,False,1,5,6,9,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/app/src/main/java/de/danoeh/antennapod/discovery/PodcastSearcher.java,AntennaPod-2.1.1,PodcastSearcher,16,0,0,0,0,False,False,2,True,False,0,0,4,0,0.0,True,True,False,False,False,public,0,0,0,False,Service Provider
/app/src/main/java/de/danoeh/antennapod/discovery/PodcastSearcherRegistry.java,AntennaPod-2.1.1,PodcastSearcherRegistry,56,1,3,0,1,False,False,3,False,False,3,2,3,9,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/app/src/main/java/de/danoeh/antennapod/error/CrashReportWriter.java,AntennaPod-2.1.1,CrashReportWriter,68,2,4,0,2,False,False,3,True,False,0,3,12,3,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/app/src/main/java/de/danoeh/antennapod/error/RxJavaErrorHandlerSetup.java,AntennaPod-2.1.1,RxJavaErrorHandlerSetup,36,1,1,1,0,False,False,5,False,False,2,0,4,2,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/app/src/main/java/de/danoeh/antennapod/fragment/AddFeedFragment.java,AntennaPod-2.1.1,AddFeedFragment,200,5,6,0,0,False,False,3,False,False,8,8,37,24,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/app/src/main/java/de/danoeh/antennapod/fragment/AllEpisodesFragment.java,AntennaPod-2.1.1,AllEpisodesFragment,117,3,9,0,1,False,False,3,False,False,4,5,18,5,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/app/src/main/java/de/danoeh/antennapod/fragment/AudioPlayerFragment.java,AntennaPod-2.1.1,AudioPlayerFragment,540,26,20,5,1,False,False,3,False,False,32,16,55,81,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/app/src/main/java/de/danoeh/antennapod/fragment/ChaptersFragment.java,AntennaPod-2.1.1,ChaptersFragment,163,7,8,0,1,False,False,2,False,False,9,7,27,23,0.0,True,False,False,True,False,public,0,0,0,False,Service Provider
/app/src/main/java/de/danoeh/antennapod/fragment/CompletedDownloadsFragment.java,AntennaPod-2.1.1,CompletedDownloadsFragment,238,9,15,0,0,False,False,3,False,False,10,12,46,27,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/app/src/main/java/de/danoeh/antennapod/fragment/CoverFragment.java,AntennaPod-2.1.1,CoverFragment,228,10,13,0,0,False,False,2,False,False,11,11,36,35,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/app/src/main/java/de/danoeh/antennapod/fragment/DiscoveryFragment.java,AntennaPod-2.1.1,DiscoveryFragment,224,12,5,0,0,False,False,2,False,False,8,6,32,22,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/app/src/main/java/de/danoeh/antennapod/fragment/DownloadLogFragment.java,AntennaPod-2.1.1,DownloadLogFragment,218,7,11,0,0,False,False,3,False,False,11,10,42,30,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/app/src/main/java/de/danoeh/antennapod/fragment/DownloadsFragment.java,AntennaPod-2.1.1,DownloadsFragment,128,9,3,0,0,False,False,2,False,False,3,5,16,5,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/app/src/main/java/de/danoeh/antennapod/fragment/EpisodesFragment.java,AntennaPod-2.1.1,EpisodesFragment,116,7,3,0,0,False,False,2,False,False,2,4,16,6,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/app/src/main/java/de/danoeh/antennapod/fragment/EpisodesListFragment.java,AntennaPod-2.1.1,EpisodesListFragment,388,15,11,1,1,False,False,3,False,False,23,6,49,48,0.0,True,False,False,True,False,public,0,0,0,True,Interfacer
/app/src/main/java/de/danoeh/antennapod/fragment/ExternalPlayerFragment.java,AntennaPod-2.1.1,ExternalPlayerFragment,230,8,11,1,0,False,False,3,False,False,12,6,31,39,0.0,True,False,False,True,False,public,0,0,0,False,Interfacer
/app/src/main/java/de/danoeh/antennapod/fragment/FavoriteEpisodesFragment.java,AntennaPod-2.1.1,FavoriteEpisodesFragment,105,2,6,0,1,False,False,3,False,False,2,5,19,4,0.0,True,False,False,True,False,public,0,0,0,False,Coordinator
