Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,closeAllBuffers,Complex Conditional,The conditional expression (!buffer.isNewFile() || (buffer.isUntitled() && autosaveUntitled)) && saveRecent is complex.,2217
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,closeAllBuffers,Complex Method,Cyclomatic complexity of the method is 12,2217
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,closeAllBuffers,Long Identifier,The length of the identifier suppressNotSavedConfirmUntitled is 31.,2217
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,closeAllBuffers,Long Statement,The length of the statement "BufferHistory.setEntry(buffer.getPath()`caret`(Selection[])buffer.getProperty(Buffer.SELECTION)`buffer.getStringProperty(JEditBuffer.ENCODING)`buffer.getMode().getName());" is 171.,2217
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,saveAllBuffers,Complex Method,Cyclomatic complexity of the method is 9,2317
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,saveAllBuffers,Long Statement,The length of the statement "int result=JOptionPane.showConfirmDialog(view`new Object[]{new JLabel(jEdit.getProperty("saveall.message"))`new JScrollPane(bufferList)}`jEdit.getProperty("saveall.title")`JOptionPane.YES_NO_OPTION`JOptionPane.QUESTION_MESSAGE);" is 228.,2317
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,saveAllBuffers,Magic Number,The method contains a magic number: 10,2317
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,checkBufferStatus,Complex Method,Cyclomatic complexity of the method is 9,2552
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,checkBufferStatus,Long Statement,The length of the statement "Log.log(Log.DEBUG`jEdit.class`"checkBufferStatus for " + (currentBuffer ? "current buffer: " + view.getBuffer() : "all buffers"));" is 130.,2552
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,newView,Magic Number,The method contains a magic number: 20,2679
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,newView,Magic Number,The method contains a magic number: 20,2679
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,newView,Complex Method,Cyclomatic complexity of the method is 8,2704
jEdit-5.5.0,org.gjt.sp.jedit,jEdit,relocateSettings,Long Statement,The length of the statement "Log.log(Log.NOTICE`jEdit.class`"Old settings directory found (HOME/.jedit). Moving to new location (" + newSettingsDir + ')');" is 126.,2849
